epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.268,1.19462,2.37375,1.48434,0.25381,0.48082,0.33,0.19373,1.3539,2.4341,1.91291,0.000471266,0.000471266,0.000471266
2,25.3475,1.54223,2.39925,1.76951,0.02667,0.26754,0.03424,0.01285,2.01157,37.7214,3.5206,0.000938218,0.000938218,0.000938218
3,37.4975,1.69065,2.55105,1.88124,0.20102,0.24543,0.17453,0.04569,2.10298,7.58682,2.90868,0.00139574,0.00139574,0.00139574
4,49.4525,1.73336,2.43853,1.92013,0.20177,0.27435,0.15458,0.06679,2.08132,2.72959,2.48187,0.00138656,0.00138656,0.00138656
5,61.3788,1.75883,2.32672,1.91684,0.19254,0.13107,0.10913,0.04542,2.0377,6.62023,2.6318,0.00137241,0.00137241,0.00137241
6,73.1308,1.66854,2.22562,1.84494,0.19421,0.30699,0.18418,0.09754,1.84851,4.56289,2.34249,0.00135826,0.00135826,0.00135826
7,85.0268,1.66778,2.19617,1.80189,0.22128,0.3661,0.18484,0.08343,1.97751,3.43022,2.38905,0.00134412,0.00134412,0.00134412
8,97.0993,1.60619,2.14773,1.7898,0.28621,0.36708,0.22955,0.08688,1.88065,2.95923,2.3189,0.00132997,0.00132997,0.00132997
9,109.159,1.64306,2.18458,1.81088,0.56064,0.32452,0.36891,0.17897,1.69382,2.45661,2.0994,0.00131582,0.00131582,0.00131582
10,121.314,1.58424,2.01817,1.76948,0.46755,0.45667,0.41498,0.21154,1.72839,1.97312,2.07169,0.00130168,0.00130168,0.00130168
11,133.442,1.50125,1.92212,1.66873,0.44177,0.42146,0.34521,0.18358,1.81831,2.5163,2.28393,0.00128753,0.00128753,0.00128753
12,145.334,1.57439,1.95048,1.74162,0.29073,0.43782,0.27893,0.14482,1.71273,2.28537,2.08716,0.00127338,0.00127338,0.00127338
13,157.104,1.53238,1.88654,1.71541,0.34529,0.5649,0.47717,0.2403,1.55189,2.03696,1.97899,0.00125923,0.00125923,0.00125923
14,169.216,1.45375,1.77882,1.63474,0.61328,0.41226,0.42782,0.2299,1.53937,2.02946,1.94623,0.00124509,0.00124509,0.00124509
15,181.271,1.47396,1.86339,1.67574,0.59824,0.46771,0.49837,0.26976,1.55625,2.38808,1.96541,0.00123094,0.00123094,0.00123094
16,193.41,1.46473,1.82717,1.65027,0.49587,0.52494,0.57191,0.31361,1.51835,1.71609,1.96564,0.00121679,0.00121679,0.00121679
17,205.681,1.37679,1.71543,1.59129,0.47863,0.48536,0.52188,0.27439,1.59068,1.97288,2.01118,0.00120265,0.00120265,0.00120265
18,217.707,1.40008,1.69047,1.60236,0.59867,0.48243,0.54907,0.3044,1.56891,1.91405,1.9665,0.0011885,0.0011885,0.0011885
19,229.591,1.38357,1.66119,1.57975,0.6292,0.44565,0.50247,0.25925,1.75603,1.96437,2.11801,0.00117435,0.00117435,0.00117435
20,241.693,1.37548,1.69666,1.60427,0.49796,0.45417,0.47275,0.27835,1.52427,1.81668,1.93689,0.00116021,0.00116021,0.00116021
21,253.632,1.3952,1.68222,1.61339,0.67237,0.47431,0.56323,0.31521,1.51281,1.66148,1.92274,0.00114606,0.00114606,0.00114606
22,265.604,1.30377,1.59954,1.53989,0.42237,0.60937,0.56449,0.35487,1.41154,1.74927,1.7978,0.00113191,0.00113191,0.00113191
23,277.569,1.34272,1.5875,1.55848,0.62585,0.49537,0.54419,0.29028,1.65374,1.82478,2.03515,0.00111776,0.00111776,0.00111776
